Sample ID,Organism Name,Chemical Used,Energy Source,Depth,Temperature,Oxygen level,Ph,Primary Byproduct,Latitude,Longitude
1,Sulfur Worm,Hydrogen,Cold Seeps,2701,380.7,9.6,7.9,Carbon Dioxide,24.5,-88
2,Seep Crab,Ammonia,Hydrothermal Vents,575,200.1,5.6,8.2,Nitrogen,12.8,-103.9
3,Hydrogen Bacteria,Hydrogen,Cold Seeps,2910,218.1,7.3,6.8,Nitrogen,35,20
4,Methane Shrimp,Hydrogen Sulfide,Underwater Volcanoes,3139,237.5,0.7,7.1,Nitrogen,15,-160
5,Thermophilic Fish,Hydrogen Sulfide,Cold Seeps,2861,291,7.7,8.4,Carbon Dioxide,24.5,-88
6,Methane Shrimp,Ammonia,Cold Seeps,2435,207.7,5.6,5.7,Nitrogen,39.2,141.5
7,Hydrogen Bacteria,Hydrogen,Hydrothermal Vents,976,271.9,2.8,6.6,Carbon Dioxide,-25,70
8,Hydrogen Bacteria,Hydrogen,Underwater Volcanoes,3710,380.6,7.6,7.5,Carbon Dioxide,15,-160
9,Thermophilic Fish,Ammonia,Underwater Volcanoes,3723,275.3,1.9,7.3,Nitrogen,-37.5,-110.5
10,Thermophilic Fish,Methane,Underwater Volcanoes,2644,191.3,4.1,7.7,Carbon Dioxide,17.5,145.5
11,Methane Shrimp,Hydrogen,Underwater Volcanoes,2515,387,7,6.9,Carbon Dioxide,17.5,145.5
12,Tube Worm,Hydrogen Sulfide,Hydrothermal Vents,1330,241.5,8.2,7.8,Carbon Dioxide,0,-30
13,Tube Worm,Hydrogen Sulfide,Hydrothermal Vents,1644,215.5,2.1,5.7,Nitrogen,12.8,-103.9
14,Alkaline Bacteria,Hydrogen Sulfide,Underwater Volcanoes,2147,396,3.2,7.2,Nitrogen,-37.5,-110.5
15,Tube Worm,Ammonia,Cold Seeps,2924,50.2,7.9,6.8,Sulfur,24.5,-88
16,Hydrogen Bacteria,Hydrogen,Underwater Volcanoes,1178,359.1,8.1,6.7,Nitrogen,15,-160
17,Tube Worm,Hydrogen Sulfide,Underwater Volcanoes,1794,112.7,7.7,6.7,Carbon Dioxide,17.5,145.5
18,Alkaline Bacteria,Hydrogen Sulfide,Hydrothermal Vents,3176,330.9,1.1,5.6,Nitrogen,0,-30
19,Tube Worm,Hydrogen,Cold Seeps,1998,255.9,5.6,7.7,Carbon Dioxide,35,20
20,Thermophilic Fish,Ammonia,Cold Seeps,1829,234.6,8.7,7.5,Sulfur,24.5,-88
21,Methane Shrimp,Ammonia,Cold Seeps,2576,169.1,5.8,5.7,Sulfur,39.2,141.5
22,Thermophilic Fish,Hydrogen Sulfide,Cold Seeps,838,102.8,8,6.5,Sulfur,24.5,-88
23,Thermophilic Fish,Hydrogen Sulfide,Hydrothermal Vents,1706,372.7,9,6.3,Sulfur,-25,70
24,Thermophilic Fish,Methane,Hydrothermal Vents,3398,62.9,7.5,7.2,Carbon Dioxide,0,-30
25,Vent Crustacean,Methane,Cold Seeps,1585,137.3,9.5,8.5,Carbon Dioxide,35,20
26,Sulfur Worm,Methane,Hydrothermal Vents,2080,146.7,8.6,6,Carbon Dioxide,-25,70
27,Seep Crab,Ammonia,Cold Seeps,3949,142.7,1.6,8.2,Nitrogen,39.2,141.5
28,Sulfur Worm,Ammonia,Underwater Volcanoes,2399,150.1,4.2,6.4,Carbon Dioxide,17.5,145.5
29,Methane Shrimp,Hydrogen Sulfide,Underwater Volcanoes,3943,308.1,6.8,7.9,Sulfur,15,-160
30,Hydrogen Bacteria,Methane,Underwater Volcanoes,1512,192,3.1,5.8,Nitrogen,-37.5,-110.5
31,Methane Shrimp,Methane,Hydrothermal Vents,1238,70.7,5.3,5.5,Nitrogen,-25,70
32,Thermophilic Fish,Hydrogen Sulfide,Hydrothermal Vents,1219,226.1,9.2,8.1,Sulfur,12.8,-103.9
33,Alkaline Bacteria,Ammonia,Cold Seeps,1251,162.2,2.6,7.8,Carbon Dioxide,39.2,141.5
34,Hydrogen Bacteria,Hydrogen,Underwater Volcanoes,3340,112.5,7.2,6.6,Nitrogen,17.5,145.5
35,Thermophilic Fish,Ammonia,Underwater Volcanoes,522,82.1,2.4,7.8,Sulfur,-37.5,-110.5
36,Sulfur Worm,Hydrogen Sulfide,Hydrothermal Vents,1494,328.7,1,5.6,Sulfur,12.8,-103.9
37,Methane Shrimp,Hydrogen,Underwater Volcanoes,2453,275.7,4.8,7.5,Nitrogen,15,-160
38,Vent Crustacean,Hydrogen,Cold Seeps,852,350.1,5.7,7,Nitrogen,39.2,141.5
39,Methane Shrimp,Methane,Hydrothermal Vents,1222,208,4.1,6,Nitrogen,-25,70
40,Tube Worm,Hydrogen Sulfide,Hydrothermal Vents,2184,209.5,6.1,5.7,Carbon Dioxide,0,-30
